city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,ID,IDN,Jakarta,primary,35362000,1360771077
Manila,Manila,14.6,120.9833,Philippines,PH,PHL,Manila,primary,23971000,1608618140
Bangkok,Bangkok,13.75,100.5167,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,17573000,1764068610
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,H? Ch° Minh,admin,13954000,1704774326
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia,MY,MYS,Kuala Lumpur,primary,8639000,1458988644
Hanoi,Hanoi,21.0245,105.8412,Vietnam,VN,VNM,HÖ N?i,primary,8246600,1704413791
Rangoon,Rangoon,16.795,96.16,Myanmar,MM,MMR,Yangon,primary,5430000,1104616656
Singapore,Singapore,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000,1702341327
Quezon City,Quezon City,14.6333,121.0333,Philippines,PH,PHL,Quezon,admin,2960048,1608974097
Surabaya,Surabaya,-7.2458,112.7378,Indonesia,ID,IDN,Jawa Timur,admin,2885555,1360484663
Bandung,Bandung,-6.95,107.5667,Indonesia,ID,IDN,Jawa Barat,admin,2875673,1360313023
Bekasi,Bekasi,-6.2333,107,Indonesia,ID,IDN,Jawa Barat,,2381053,1360006015
Depok,Depok,-6.394,106.8225,Indonesia,ID,IDN,Jawa Barat,,2330333,1360962899
Tangerang,Tangerang,-6.1783,106.6319,Indonesia,ID,IDN,Jawa Barat,,2237006,1360002844
Phnom Penh,Phnom Penh,11.5696,104.921,Cambodia,KH,KHM,Phnom Penh,primary,2129371,1116260534
Medan,Medan,3.6667,98.6667,Indonesia,ID,IDN,Sumatera Utara,admin,2109330,1360543171
Haiphong,Haiphong,20.8,106.6667,Vietnam,VN,VNM,H?i Phïng,admin,2103500,1704000623
Davao,Davao,7.0667,125.6,Philippines,PH,PHL,Davao,admin,1776949,1608906877
Caloocan City,Caloocan City,14.65,120.9667,Philippines,PH,PHL,Caloocan,admin,1661584,1608897690
Semarang,Semarang,-6.9667,110.4167,Indonesia,ID,IDN,Jawa Tengah,admin,1621384,1360745537
Palembang,Palembang,-2.9833,104.7644,Indonesia,ID,IDN,Sumatera Selatan,admin,1535952,1360902897
Makassar,Makassar,-5.1331,119.4136,Indonesia,ID,IDN,Sulawesi Selatan,admin,1338663,1360051337
C?n Th?,Can Tho,10.0333,105.7833,Vietnam,VN,VNM,C?n Th?,admin,1237300,1704783472
Mandalay,Mandalay,21.9831,96.0844,Myanmar,MM,MMR,Mandalay,admin,1225546,1104468217
Cilacap,Cilacap,-7.7167,109.017,Indonesia,ID,IDN,Jawa Tengah,minor,1174964,1360503809
Bandar Lampung,Bandar Lampung,-5.4294,105.2625,Indonesia,ID,IDN,Lampung,admin,1166761,1360243491
Nay Pyi Taw,Nay Pyi Taw,19.7475,96.115,Myanmar,MM,MMR,Nay Pyi Taw,primary,1160242,1104838105
Biàn Hïa,Bien Hoa,10.9508,106.8221,Vietnam,VN,VNM,??ng Nai,admin,1104000,1704863046
Bogor,Bogor,-6.5917,106.8,Indonesia,ID,IDN,Jawa Barat,,1030720,1360771925
Batam,Batam,1.0678,104.0167,Indonesia,ID,IDN,Kepulauan Riau,,1029808,1360405604
Th? ??c,Thu Duc,10.7924,106.7518,Vietnam,VN,VNM,H? Ch° Minh,minor,1013795,1704361621
Qu?ng HÖ,Quang Ha,16.06,108.25,Vietnam,VN,VNM,Qu?ng Nam,,1000000,1704966442
Pekanbaru,Pekanbaru,0.5333,101.45,Indonesia,ID,IDN,Riau,admin,983356,1360422679
Zamboanga City,Zamboanga City,6.9167,122.0833,Philippines,PH,PHL,Zamboanga,admin,977234,1608189351
Cebu City,Cebu City,10.293,123.902,Philippines,PH,PHL,Cebu,admin,964169,1608136151
Vientiane,Vientiane,17.9667,102.6,Laos,LA,LAO,Viangchan,primary,948487,1418732714
Padang,Padang,-0.9556,100.3606,Indonesia,ID,IDN,Sumatera Barat,admin,914970,1360900986
Antipolo,Antipolo,14.5842,121.1763,Philippines,PH,PHL,Rizal,admin,887399,1608824345
Taguig City,Taguig City,14.5167,121.05,Philippines,PH,PHL,Taguig,admin,886722,1608766695
Klang,Klang,3.0333,101.45,Malaysia,MY,MYS,Selangor,,878000,1458509635
Ipoh,Ipoh,4.6,101.07,Malaysia,MY,MYS,Perak,admin,866772,1458423505
Malang,Malang,-7.98,112.62,Indonesia,ID,IDN,Jawa Timur,,866118,1360141408
Denpasar,Denpasar,-8.6667,115.2167,Indonesia,ID,IDN,Bali,admin,834881,1360848527
